valid_loss,valid_mse,valid_mae,valid_r2,epoch,step,train_loss,train_mse,train_mae,train_r2,test_loss,test_mse,test_mae,test_r2
12.464211463928223,12.464211463928223,3.3664591312408447,-10.333788871765137,0,41,,,,,,,,
,,,,1,49,11.030136108398438,11.030136108398438,3.13505220413208,-8.109661102294922,,,,
7.329608917236328,7.329608917236328,2.512924909591675,-5.658283233642578,1,83,,,,,,,,
,,,,2,99,3.6865100860595703,3.6865100860595703,1.6706422567367554,-1.986313819885254,,,,
1.2650941610336304,1.2650941610336304,0.8623512387275696,-0.13703888654708862,2,125,,,,,,,,
,,,,3,149,0.9135736227035522,0.9135736227035522,0.8023645877838135,-0.24490749835968018,,,,
1.135123610496521,1.135123610496521,0.8254625201225281,-0.020463168621063232,3,167,,,,,,,,
,,,,4,199,1.0160093307495117,1.0160093307495117,0.8205092549324036,-0.1335916519165039,,,,
1.1137136220932007,1.1137136220932007,0.8173031210899353,-0.0022695031948387623,4,209,,,,,,,,
,,,,5,249,0.9681640863418579,0.9681640863418579,0.7684314250946045,0.04294461011886597,,,,
1.099595069885254,1.099595069885254,0.8107706308364868,0.009575984440743923,5,251,,,,,,,,
1.0896168947219849,1.0896168947219849,0.8062005639076233,0.017866235226392746,6,293,,,,,,,,
,,,,7,299,1.0002307891845703,1.0002307891845703,0.800840437412262,0.0981338620185852,,,,
1.0821930170059204,1.0821930170059204,0.80336594581604,0.02399575710296631,7,335,,,,,,,,
,,,,8,349,1.261076807975769,1.261076807975769,0.826740026473999,-0.21677029132843018,,,,
1.0764868259429932,1.0764868259429932,0.8011191487312317,0.028688911348581314,8,377,,,,,,,,
,,,,9,399,1.1513837575912476,1.1513837575912476,0.8650034070014954,-0.07655787467956543,,,,
1.0719352960586548,1.0719352960586548,0.7996584177017212,0.032426971942186356,9,419,,,,,,,,
,,,,10,449,1.1016855239868164,1.1016855239868164,0.8554289937019348,-0.03795742988586426,,,,
1.0680947303771973,1.0680947303771973,0.7983899116516113,0.03558218479156494,10,461,,,,,,,,
,,,,11,499,0.7742575407028198,0.7742575407028198,0.6902338266372681,0.15587908029556274,,,,
1.064888596534729,1.064888596534729,0.797276496887207,0.03823546692728996,11,503,,,,,,,,
1.0616726875305176,1.0616726875305176,0.7962555885314941,0.04098919779062271,12,545,,,,,,,,
,,,,13,549,0.7708236575126648,0.7708236575126648,0.7175734639167786,0.12884783744812012,,,,
