valid_loss,valid_mse,valid_mae,valid_r2,epoch,step,train_loss,train_mse,train_mae,train_r2,test_loss,test_mse,test_mae,test_r2
11.8707857131958,11.8707857131958,3.2769320011138916,-9.793264389038086,0,41,,,,,,,,
,,,,1,49,10.472529411315918,10.472529411315918,3.045191764831543,-7.649140357971191,,,,
7.158559322357178,7.158559322357178,2.4787681102752686,-5.502780914306641,1,83,,,,,,,,
,,,,2,99,3.963494300842285,3.963494300842285,1.7411634922027588,-2.210689067840576,,,,
1.2571264505386353,1.2571264505386353,0.8629770278930664,-0.1286221742630005,2,125,,,,,,,,
,,,,3,149,0.8726736307144165,0.8726736307144165,0.7871869206428528,-0.18917393684387207,,,,
1.1552965641021729,1.1552965641021729,0.8360872864723206,-0.03850458934903145,3,167,,,,,,,,
,,,,4,199,1.0061492919921875,1.0061492919921875,0.8271462917327881,-0.12259042263031006,,,,
1.1238254308700562,1.1238254308700562,0.8222803473472595,-0.011437085457146168,4,209,,,,,,,,
,,,,5,249,0.9658642411231995,0.9658642411231995,0.7701314687728882,0.045218050479888916,,,,
1.104231595993042,1.104231595993042,0.8131357431411743,0.005160043016076088,5,251,,,,,,,,
1.091256022453308,1.091256022453308,0.8069553375244141,0.016012588515877724,6,293,,,,,,,,
,,,,7,299,0.9888213276863098,0.9888213276863098,0.7935437560081482,0.10842132568359375,,,,
1.0820798873901367,1.0820798873901367,0.8036275506019592,0.023610319942235947,7,335,,,,,,,,
,,,,8,349,1.1889219284057617,1.1889219284057617,0.8137122392654419,-0.14715051651000977,,,,
1.075364351272583,1.075364351272583,0.8013910055160522,0.02913062833249569,8,377,,,,,,,,
,,,,9,399,1.1380791664123535,1.1380791664123535,0.8595325350761414,-0.0641179084777832,,,,
1.0704002380371094,1.0704002380371094,0.7995408773422241,0.03317394480109215,9,419,,,,,,,,
,,,,10,449,1.0774171352386475,1.0774171352386475,0.8453530669212341,-0.015092968940734863,,,,
1.066512942314148,1.066512942314148,0.798237144947052,0.03633033111691475,10,461,,,,,,,,
,,,,11,499,0.7899483442306519,0.7899483442306519,0.7032426595687866,0.13877248764038086,,,,
1.0634390115737915,1.0634390115737915,0.7971758246421814,0.03881438449025154,11,503,,,,,,,,
1.0608705282211304,1.0608705282211304,0.7962315678596497,0.04089149460196495,12,545,,,,,,,,
,,,,13,549,0.7673323154449463,0.7673323154449463,0.7129302620887756,0.1327936053276062,,,,
1.058239221572876,1.058239221572876,0.7953697443008423,0.04305851832032204,13,587,,,,,,,,
,,,,14,599,0.9351801872253418,0.9351801872253418,0.8030290603637695,0.07971012592315674,,,,
1.055971384048462,1.055971384048462,0.7946731448173523,0.044970717281103134,14,629,,,,,,,,
,,,,15,649,1.0885179042816162,1.0885179042816162,0.8226523399353027,-0.06485116481781006,,,,
1.053878664970398,1.053878664970398,0.7938623428344727,0.046741120517253876,15,671,,,,,,,,
,,,,16,699,0.9750650525093079,0.9750650525093079,0.7441080808639526,0.11077982187271118,,,,
1.051878809928894,1.051878809928894,0.792956531047821,0.048450130969285965,16,713,,,,,,,,
,,,,17,749,1.0437557697296143,1.0437557697296143,0.7797814011573792,0.0228121280670166,,,,
1.0498900413513184,1.0498900413513184,0.7919012308120728,0.05020361393690109,17,755,,,,,,,,
1.048052191734314,1.048052191734314,0.7908909916877747,0.051842834800481796,18,797,,,,,,,,
,,,,19,799,0.8116858005523682,0.8116858005523682,0.7232713103294373,0.15367424488067627,,,,
1.0460355281829834,1.0460355281829834,0.7896784543991089,0.05363116040825844,19,839,,,,,,,,
,,,,20,849,0.9128608703613281,0.9128608703613281,0.7475934028625488,0.10833346843719482,,,,
1.0441248416900635,1.0441248416900635,0.7885475158691406,0.05535391718149185,20,881,,,,,,,,
,,,,21,899,0.8572896718978882,0.8572896718978882,0.7253817915916443,0.09708112478256226,,,,
1.042120099067688,1.042120099067688,0.7874056696891785,0.05718449130654335,21,923,,,,,,,,
,,,,22,949,0.9883603453636169,0.9883603453636169,0.8112581372261047,0.024885714054107666,,,,
1.0400604009628296,1.0400604009628296,0.786313533782959,0.05909575894474983,22,965,,,,,,,,
,,,,23,999,0.6264922022819519,0.6264922022819519,0.6136435270309448,0.20998835563659668,,,,
1.0379607677459717,1.0379607677459717,0.7852977514266968,0.06102045625448227,23,1007,,,,,,,,
,,,,24,1049,1.1995956897735596,1.1995956897735596,0.8738015294075012,-0.1855151653289795,,,,
1.035836935043335,1.035836935043335,0.7841594815254211,0.06297209113836288,24,1049,,,,,,,,
1.0338078737258911,1.0338078737258911,0.7830557227134705,0.06485190242528915,25,1091,,,,,,,,
,,,,26,1099,1.2662978172302246,1.2662978172302246,0.8797942399978638,-0.04582071304321289,,,,
