type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
RSM0016,0.28044075,-0.0853261,0.11275584,0.03913866,0.12456403,-0.10684681,0.045699336,0.12644969,0.03905154,0.011164089,-0.19099988,0.07266178,0.018136952,0.18040557,-0.06490873,-0.08025475,-0.0920702,0.24016595,-0.031436067,-0.08699155,0.09256688,0.005781172,0.13417014,-0.03687917,-0.07944836,-0.08854804,0.08795234,-0.026751585,-0.17864648,-0.14024869,0.16285676,0.055547062,0.046172265,0.1373997,-0.07274276,-0.04508613,-0.033721272,0.23550653,-0.05244235,-0.050428562,-0.19931974,0.015140265,-0.07596902,-0.10286616,-0.12558305,0.03494554,0.08797224,0.06306441,0.013602154,0.15093957,0.01791136,0.10152525,0.2262668,0.17180583,0.06497988,0.10372083,0.06929791,0.038857084,-0.14363675,-0.10458047,-0.006785967,-0.09123352,-0.013380976,0.16472442
RSM0018,0.31550387,-0.05591859,-0.034414038,0.08576943,0.019868707,-0.14427428,-0.08962093,0.059428252,-0.020717666,-0.03379418,-0.23796187,0.040031493,0.05435938,0.21292426,-0.011268787,-0.08782174,0.01191763,0.20990367,-0.03074213,0.030036625,0.022918165,0.021285985,0.14499547,0.07420535,-0.16339794,-0.059165835,0.17653155,-0.031143997,-0.1880997,-0.16807285,0.111680634,-0.030031439,0.15839638,0.14315718,0.053590555,0.019522972,0.025604859,0.23312296,-0.041563623,-0.1928992,-0.16194274,-0.055257246,0.020621726,-0.026759125,-0.010629681,0.056613896,0.056582954,0.028450852,0.043594,0.18890119,0.035505887,0.13269304,0.16439627,0.109699056,-0.059262894,0.035819024,0.08290573,0.10235252,-0.01252344,-0.15970483,-0.063069806,0.0935629,0.002313733,0.10300766
RSM0019,0.2916248,-0.076634765,-0.042648014,0.06389362,0.02136119,-0.12429661,-0.0149004245,0.0709748,-0.09939492,-0.021936543,-0.22934824,0.014534055,0.1345459,0.18479618,-0.07793272,-0.13887288,-0.03957668,0.19794974,-0.006401861,0.045759607,-0.009050762,0.05035016,0.097446196,0.113322474,-0.100787126,-0.040579233,0.12018354,0.0071177613,-0.29117516,-0.17344888,0.030727718,0.039445993,0.21444231,0.17215374,0.085203394,-0.014491081,-0.0070747696,0.19481158,-0.033078603,-0.18234181,-0.13645242,-0.009583266,-0.034237284,0.0006274113,-0.114913054,0.08114818,0.073272444,0.049084023,0.001621709,0.1589542,-0.036013443,0.09135796,0.19551864,0.13619776,-0.01913866,-0.025979307,0.08403163,0.0749209,-0.07655104,-0.114948206,-0.043262865,0.04518053,0.03131811,0.105746046
RSM0020,0.2665586,-0.082142524,0.08087536,0.020318069,0.08464337,-0.09591869,0.05114168,0.10423004,-0.02370671,0.005579669,-0.21269405,0.05115666,0.095615834,0.21543248,-0.12750536,-0.14525603,-0.08799327,0.2536655,-0.034206122,-0.048648603,0.06509617,0.039806206,0.13340403,0.0067383046,-0.06618178,-0.047357433,0.05259491,0.0036046626,-0.22694163,-0.11267553,0.12506309,0.08160373,0.13841198,0.13659698,0.00037655857,-0.013547313,-0.034569524,0.17670655,-0.05671546,-0.05274743,-0.1886304,0.04257152,-0.07253016,-0.06649768,-0.15430087,0.053298675,0.07814188,0.04951624,0.0075695403,0.14724411,0.007716021,0.0935086,0.2156084,0.16728908,0.09023522,0.023095166,0.090822615,0.05766847,-0.13910684,-0.11291209,0.018121695,-0.10247623,-0.005563853,0.15558471
RSM0021,0.28908655,-0.078744926,-0.03216619,0.058024053,0.03313357,-0.13242649,-0.027994614,0.0394214,-0.07814338,-0.018569555,-0.21332987,0.01882767,0.13233437,0.17990154,-0.08910623,-0.14013657,-0.05340917,0.21076964,-0.008411158,0.041790754,-0.015595223,0.04341841,0.08764096,0.09876608,-0.1136151,-0.027455702,0.13166146,0.013408126,-0.27753553,-0.16831163,0.056340594,0.025359621,0.24494627,0.16245353,0.090102986,-0.0027555942,0.004374502,0.17509428,-0.023638098,-0.19409417,-0.15194246,0.003648415,-0.018430796,-0.00529526,-0.11211068,0.08210953,0.06008096,0.03468339,-0.00098292,0.166524,-0.022310754,0.11161612,0.19106801,0.14014249,-0.0012837491,-0.052736115,0.08547944,0.09444425,-0.045489587,-0.11911017,-0.017184537,0.040875748,0.024937548,0.112496644
RSM0022,0.33281144,-0.058037706,-0.04538051,0.07773712,0.0034727543,-0.14195015,-0.07094596,0.045958873,-0.06871036,-0.023181302,-0.24890149,0.02491391,0.09446925,0.2277084,-0.06548943,-0.1212671,-0.0004200366,0.21468045,-0.027181279,0.05292666,0.01319296,0.05275621,0.14699382,0.0988805,-0.14298202,-0.060517117,0.14554773,-0.0022915136,-0.22688879,-0.17125472,0.07912376,-0.006716212,0.21364689,0.1586785,0.08347408,0.013565451,0.023512738,0.2339861,-0.028654149,-0.19843481,-0.1472893,-0.03145249,0.019021496,-0.018662138,-0.0515422,0.058445163,0.06594948,0.011925461,0.051688682,0.18542841,0.004495419,0.1404313,0.16847184,0.14120209,-0.04626411,-0.011259776,0.098539315,0.088880815,-0.042546913,-0.17350177,-0.047261886,0.071392626,0.02494202,0.10463262
RSM0023,0.31624347,-0.09472436,0.13364597,0.045967698,0.118790716,-0.1263542,0.07656562,0.1308883,0.013802489,0.05098595,-0.21138436,0.063257195,0.038625043,0.23244432,-0.11408088,-0.12448244,-0.09493947,0.27225113,-0.064590596,-0.09024544,0.08363571,0.022494515,0.16021435,-0.063548215,-0.07948716,-0.08613498,0.074860595,-0.00766693,-0.16013005,-0.12189195,0.15553272,0.07507728,0.106654264,0.14548044,-0.016154421,0.012956077,-0.0031463092,0.23718841,-0.022587763,-0.031948373,-0.22199959,0.045638997,-0.06961915,-0.06899125,-0.12529474,0.031032693,0.07864396,0.055876434,0.019033743,0.15207747,0.011196283,0.097576044,0.24484392,0.15365297,0.11054337,0.08829602,0.08959683,0.06902213,-0.13545644,-0.13175705,0.022451883,-0.13797575,0.0020033217,0.18428558
RSM0024,0.35620055,-0.07161599,-0.06604518,0.10082677,0.015135268,-0.1665372,-0.11371152,0.04690608,-0.014470694,-0.018836852,-0.2696801,0.011258696,0.058794472,0.2552482,-0.00832055,-0.10945208,0.018875884,0.21084312,-0.048667185,0.042186957,0.02335744,0.04119044,0.16521743,0.10175493,-0.19102553,-0.08322336,0.2141186,-0.006761254,-0.22064869,-0.19245912,0.11587176,-0.01574838,0.17970222,0.1473047,0.06071452,0.019648587,0.017046701,0.26537904,-0.02500961,-0.22083578,-0.17042053,-0.06320692,0.01961493,-0.05493539,-0.033938486,0.06712619,0.082501955,0.0170364,0.06300267,0.23322235,0.035194438,0.1528019,0.17507277,0.12551491,-0.09744485,0.046411157,0.08710085,0.12255774,-0.0012293027,-0.15740739,-0.07834074,0.087173425,0.00677733,0.12089779
RSM0025,0.29424402,-0.09751002,0.07659679,0.025819857,0.10131273,-0.12711853,0.08081938,0.11679095,-0.005458724,0.02918911,-0.20686696,0.06357682,0.07402934,0.1998511,-0.12436025,-0.12438354,-0.12772341,0.24727966,-0.022550061,-0.026495915,0.07805734,0.018382665,0.14772625,0.0007568282,-0.058418788,-0.064067155,0.07022421,0.0039976086,-0.26381758,-0.14855127,0.124817334,0.077359,0.13551211,0.17292543,0.0015486773,-0.041825246,-0.03684326,0.20042962,-0.056138065,-0.06614061,-0.17878358,0.056941554,-0.092909664,-0.084934115,-0.15163395,0.06257679,0.07592811,0.056149606,-0.029001646,0.16203217,0.0015467667,0.09228066,0.24135485,0.19212884,0.09809082,0.032558702,0.071886264,0.023693087,-0.17062517,-0.1238613,0.02585896,-0.100556284,0.010794943,0.13994111
RSM0026,0.29643136,-0.0863055,-0.038180273,0.07263229,0.034988664,-0.14949611,-0.054119233,0.08089889,-0.0450369,-0.04551642,-0.21940754,0.025415901,0.09939227,0.21797764,-0.035149157,-0.12570633,-0.019684888,0.21723738,-0.010501428,0.014684163,0.03073429,0.028836263,0.13214113,0.09667276,-0.13928463,-0.04684734,0.16058524,-0.003917955,-0.2401604,-0.18683887,0.084368266,-0.001683725,0.17475392,0.14999066,0.0408794,-0.009769884,-0.013116639,0.21457312,-0.04545602,-0.16185933,-0.13357031,-0.026859187,-0.009192194,-0.03221477,-0.078365095,0.070853725,0.07333748,0.025129205,0.016508553,0.19577105,0.018634632,0.11105345,0.18630491,0.12993312,-0.032581877,0.016513795,0.07991292,0.08893469,-0.044368092,-0.117069796,-0.059468184,0.054503243,0.0074647055,0.11080015
