type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric
RSM1273,2140.26,4.9886,3.10602,4.9886,1.76087,523.912,297.5301981,0.23774,0.135013
RSM2626,4811.07,9.94925,7.55081,9.94924,0.836734,1975.77,2361.288056,0.61562,0.735742
RSM4053,7104.42,5.73914,2.56703,5.73914,1.56162,527.589,337.8472356,0.2122,0.135884
RSM2470,3853.15,9.1257,4.85165,9.11367,0.956862,1662.04,1736.969385,0.54404,0.568567
RSM0782,1351.29,5.28259,5.11208,5.27848,1.1717,1196.16,1020.875651,0.37188,0.317386
RSM1059,1895.57,6.00758,5.1022,6.00758,1.07326,1066.24,993.4591804,0.35686,0.332502
RSM0204,958.638,5.48382,4.82541,5.46744,1.30816,924.158,706.4563968,0.35658,0.272581
RSM0451,1556.26,6.26764,5.77209,6.22951,1.07441,1403.63,1306.419337,0.4555,0.423952
RSM0967,1416.36,4.54438,4.10807,4.54438,1.72564,216.045,125.1970283,0.11094,0.0642892
RSM0935,1388.03,4.42954,4.04745,4.42954,1.74484,206.088,118.1128356,0.10594,0.0607163
RSM1193,5447.77,8.11946,6.79716,8.09568,0.764763,2178.07,2848.032658,0.59594,0.779248
RSM2297,4426.22,6.65675,5.09348,6.63927,0.822826,2445.29,2971.819072,0.61216,0.743972
RSM0719,1323.53,6.19412,3.25534,6.19412,1.72407,606.379,351.7136775,0.29526,0.171257
RSM0327,1733.01,4.9549,4.61383,4.9549,1.45912,570.688,391.1179341,0.22448,0.153846
RSM2508,2304.49,3.94586,2.86576,3.94586,1.69888,13.0775,7.697718497,0.02076,0.0122198
RSM4038,7540.08,8.36544,4.75817,8.32279,0.872139,1451.64,1664.45945,0.45034,0.516362
RSM0353,993.951,4.49218,3.71025,4.45459,1.6407,257.959,157.224965,0.1769,0.10782
RSM1613,1452.02,4.41855,2.40361,4.33448,1.16203,67.374,57.97957023,0.0801,0.0689309
RSM2084,4953.2,4.87159,3.04039,4.86501,1.41589,521.614,368.4000876,0.23594,0.166637
RSM3248,11544.0,8.6673,3.18545,8.65454,1.0495,1284.69,1224.097189,0.43568,0.415129
RSM1818,1930.69,4.90223,3.68918,4.90223,1.31657,419.599,318.7061835,0.21606,0.164108
RSM3166,5066.47,6.1592,4.69936,6.15883,1.00061,1991.39,1990.175993,0.50364,0.503332
RSM2737,3513.64,5.31837,2.93234,4.66391,1.34891,472.871,350.5578578,0.18152,0.134568
RSM3037,8453.41,5.08001,3.51252,5.07961,1.76418,68.237,38.67915972,0.04006,0.0227075
RSM2609,2803.24,4.94676,3.43492,4.94676,1.7289,55.6889,32.21059633,0.05802,0.033559
RSM3191,3183.18,5.31637,3.35897,5.31637,1.32593,328.117,247.4617815,0.15482,0.116763
RSM0841,1932.58,5.46118,3.24444,5.46118,1.79774,811.557,451.4317977,0.3645,0.202755
RSM0058,1547.1,6.02005,5.48184,6.00129,0.946326,1455.99,1538.571275,0.47792,0.505027
RSM1619,3090.59,9.36325,6.59726,9.2981,1.43951,1493.45,1037.471084,0.50398,0.350105
RSM0961,3203.73,11.57277,9.78079,11.57277,0.608967,2157.3,3542.556493,0.73252,1.20289
RSM4117,22200.5,5.06822,3.86536,5.06061,1.18684,450.964,379.9703414,0.1415,0.119225
RSM2961,6532.22,6.52615,3.99784,6.52615,1.00465,1032.9,1028.119246,0.33822,0.336655
RSM2058,2225.31,4.96656,4.20041,4.96656,1.49997,442.977,295.3239065,0.1818,0.121202
RSM4124,8169.54,10.10107,9.89768,10.10107,1.02317,1309.33,1279.679819,0.44112,0.431133
RSM1900,2543.29,6.93743,5.78938,6.89446,1.14165,1236.64,1083.204134,0.41762,0.365805
RSM0560,2481.96,6.47898,5.73918,6.47898,1.16985,1176.65,1005.812711,0.39128,0.334469
RSM0905,1758.1,8.49623,5.29107,8.49623,1.23125,1206.36,979.7847716,0.37634,0.305658
RSM0977,3705.22,6.20415,3.43588,6.19684,1.14211,1104.06,966.68447,0.40598,0.355463
RSM1176,2591.88,7.53238,5.74054,7.52156,1.07363,1770.6,1649.171502,0.56098,0.522509
RSM2618,5893.93,9.94144,7.33631,9.94144,0.845072,2016.58,2386.281879,0.67682,0.800902
RSM4377,14038.3,7.91316,6.30978,7.91316,1.24187,1775.19,1429.449137,0.5166,0.415986
RSM2145,9135.54,5.91571,3.87698,4.38862,0.866172,855.809,988.0358635,0.32904,0.379879
RSM2150,2293.56,5.92167,3.93076,4.42412,0.871868,883.556,1013.405699,0.37428,0.429285
RSM3074,4805.99,6.54623,4.66095,6.54623,1.20529,1633.8,1355.524397,0.46408,0.385036
RSM1930,4031.67,4.59282,3.63902,4.53366,1.44559,181.788,125.7534986,0.09904,0.0685118
RSM2887,3269.71,5.03229,4.40705,5.03229,0.892035,1225.29,1373.589601,0.35896,0.402406
RSM1293,2115.59,6.32724,4.08142,6.24551,0.841857,1509.91,1793.546885,0.44326,0.526527
RSM2021,3944.68,6.00836,4.32228,5.97615,0.799722,1768.06,2210.843268,0.5405,0.67586
RSM2122,7583.64,4.82032,4.25115,4.82032,1.27602,551.286,432.035548,0.20382,0.159732
RSM0654,1688.31,4.39424,3.64857,4.38802,1.20073,590.786,492.0223531,0.37488,0.312211
RSM1106,3224.19,4.72535,2.81491,4.72535,1.61885,280.026,172.9783488,0.15616,0.0964636
RSM3323,32262.0,13.08518,12.35732,13.03987,0.787627,1604.85,2037.576162,0.66572,0.845222
RSM3334,32147.9,13.08435,12.35689,13.04237,0.80193,1601.9,1997.555896,0.66476,0.82895
RSM1133,1781.17,5.84014,3.85397,5.84014,1.503,886.502,589.82169,0.3178,0.211443
RSM3145,3505.85,5.06465,3.39913,5.06465,1.17756,417.85,354.8439145,0.19948,0.169402
RSM2916,2903.3,4.72881,2.51071,4.72472,1.29459,236.142,182.4067852,0.1479,0.114245
RSM0235,655.204,3.81349,3.15465,3.81349,2.05862,4.94891,2.403993938,0.08114,0.0394148
RSM2637,3594.22,4.96935,4.01792,4.92296,2.37845,625.448,262.9645357,0.2256,0.0948517
RSM2613,3578.5,5.23118,4.64394,5.22975,2.3889,704.744,295.0077442,0.25584,0.107095
RSM3265,13785.3,8.44223,7.37969,8.4419,0.972998,1362.21,1400.013155,0.41662,0.428182
RSM2097,3157.37,5.83756,4.97252,5.83756,0.932431,1466.75,1573.038648,0.4579,0.491082
RSM4383,10573.8,6.94509,5.04977,5.92375,0.848313,1355.25,1597.582496,0.40876,0.481851
RSM3478,5331.05,8.27924,5.80407,6.33414,0.828843,1488.73,1796.154398,0.45796,0.552529
RSM4379,10640.5,6.67176,5.057,6.67176,1.21046,1233.12,1018.720156,0.37336,0.308444
RSM0978,2960.77,8.65239,7.8304,8.65239,0.77452,2309.65,2982.04049,0.68074,0.878919
RSM1821,2371.31,5.14759,4.35938,5.14759,1.09987,1129.64,1027.066835,0.36956,0.336004
RSM2050,2011.84,4.69222,3.94966,4.47162,1.56842,451.628,287.9509315,0.2118,0.13504
RSM2847,8513.61,8.37405,3.25275,8.3739,1.32291,832.24,629.0979734,0.29658,0.224187
RSM0122,976.686,5.50745,4.89061,5.44518,1.25128,1388.67,1109.799565,0.45414,0.362942
RSM2866,3647.32,5.70065,4.00684,5.61058,1.58378,827.498,522.4829206,0.29236,0.184597
RSM1290,3932.66,5.60901,3.32165,5.60901,1.53578,834.006,543.0504369,0.31854,0.207412
RSM1831,5563.98,5.22769,3.7877,5.21386,1.25606,961.08383,765.1575801,0.30488,0.242727
RSM2039,5590.18,5.32208,3.84167,5.31587,1.29298,875.82,677.3654658,0.29208,0.225896
RSM1815,5721.07,5.43724,3.65933,5.43724,1.22157,853.22,698.4618155,0.29458,0.241149
RSM0779,2852.73,5.33125,3.14528,5.31755,1.48509,728.878,490.7971907,0.31834,0.214358
RSM4355,24530.9,7.62962,3.29107,7.62962,1.34136,426.107,317.6678893,0.12654,0.0943372
RSM0503,1065.46,4.17677,3.25151,4.17557,2.09663,160.245,76.42979448,0.15788,0.0753017
RSM2255,11960.3,11.63192,4.40592,11.61962,0.799101,1792.179722,2242.744937,0.60332,0.754998
RSM2214,2966.78,8.52073,7.26741,8.52073,1.44329,929.586,644.0743025,0.30888,0.214011
RSM1197,3845.07,10.36031,7.47097,10.26208,0.552173,2262.78,4097.954808,0.74634,1.35164
RSM1294,2368.84,7.22618,4.59373,7.22618,0.965963,1740.53,1801.859906,0.51564,0.533809
RSM1186,2133.13,7.00262,4.84122,6.9907,1.05423,1445.33,1370.981664,0.44992,0.426777
RSM4531,28535.5,11.00214,7.6444,10.86092,0.618366,2104.91,3403.987283,0.68816,1.11287
RSM2974,4542.55,6.66002,5.04848,6.62254,0.964914,1754.58,1818.379669,0.50286,0.521145
RSM0603,1521.18,6.99117,6.70761,6.99117,1.56791,1385.23,883.4882104,0.4753,0.303143
RSM4031,12151.7,11.39371,7.77962,11.39371,0.789274,2177.6,2758.991174,0.67586,0.856306
RSM1027,1355.97,4.18909,2.4539,4.18909,1.98367,65.84,33.19100455,0.11594,0.0584471
RSM1810,2993.3,6.56153,4.20374,6.56131,1.08955,1357.97,1246.358588,0.45254,0.415344
RSM2176,2311.03,4.92581,3.9125,4.92581,1.40546,595.37,423.6121981,0.23474,0.16702
RSM2088,2100.08,6.21326,5.95602,6.21326,1.24359,862.099,693.2341045,0.27836,0.223835
RSM3927,15885.5,14.74547,10.54801,14.74547,0.504959,1995.7,3952.20206,0.77338,1.53157
RSM2089,2054.2,6.21029,5.96321,6.17894,1.2702,868.609,683.8364037,0.28468,0.224121
RSM0015,421.063,4.13453,2.65637,4.13022,1.53002,54.5839,35.67528529,0.1847,0.120717
RSM3814,6193.61,7.34237,6.24855,7.34237,0.908904,1424.99,1567.811342,0.43486,0.478444
RSM3653,4239.52,5.83456,3.53796,5.83456,1.63754,433.936,264.9926109,0.18534,0.113182
RSM3775,5264.07,5.22451,4.43244,5.1107,1.2284,795.193,647.3404429,0.30478,0.248112
RSM0579,1142.01,4.53803,2.66232,4.52105,1.45257,595.28,409.8115753,0.31236,0.21504
RSM0087,588.615,4.60907,4.30122,4.60907,1.97594,536.029,271.277974,0.23236,0.117595
RSM2516,2229.31,4.13561,3.37132,4.13004,1.73474,74.2729,42.81500398,0.08336,0.0480532
RSM1094,3096.77,8.60682,7.88912,8.60682,0.689805,2124.68,3080.116845,0.65212,0.945368
RSM4362,14445.9,19.79872,19.3368,19.78261,0.704653,1072.8874,1522.575509,0.53906,0.7650004
RSM3579,5263.87,5.38643,4.20657,5.38643,1.10966,868.4681,782.6434223,0.31878,0.2872781
RSM2030,2189.73,4.64307,3.99735,4.61496,1.33375,519.776,389.7102156,0.22012,0.165039
RSM3226,5096.44,8.31671,3.81807,7.22341,0.868373,1569.26,1807.126661,0.51688,0.595228
RSM3696,11649.8,14.07417,9.53484,14.07417,0.650845,2008.31,3085.696287,0.73134,1.12368
RSM0369,831.44,4.43848,3.73339,4.16809,1.19153,217.6512,182.6653127,0.17582,0.1475585
RSM0713,3437.73,4.42328,3.40802,4.42328,0.903668,733.612,811.8158439,0.39658,0.438856
RSM2236,2616.62,4.29955,2.47824,4.26253,1.68326,91.3355,54.26107672,0.09358,0.0555945
RSM2052,2422.67,4.37317,3.27288,4.28606,1.26301,215.659,170.7500336,0.15886,0.125779
RSM1596,1616.49,4.1071,3.0438,4.0968,1.28813,77.6574,60.28692756,0.06398,0.0496691
RSM2075,5073.14,5.32479,3.99481,5.32479,1.53026,567.782,371.0362945,0.24694,0.161371
RSM3417,14136.6,8.8545,8.04506,8.8545,0.943263,1929.24,2045.283235,0.59002,0.625509
RSM4102,99710.2,24.78598,13.19796,24.78598,0.313235,1550.94,4951.362396,0.8364,2.6702
RSM4614,47281.2,10.98199,6.35591,10.98199,0.660572,2137.73,3236.180159,0.61572,0.932101
RSM2649,7380.08,8.02314,6.05017,8.02314,1.20795,1186.63,982.3502628,0.35962,0.29771
RSM4106,9201.52,6.88265,5.7276,6.86806,1.02354,1602.53,1565.674033,0.46048,0.449888
RSM3889,14188.1,13.04043,10.53518,12.83694,0.526318,2015.25,3828.958918,0.75966,1.44335
RSM0011,394.169,4.36483,3.3129,4.3161,1.5482,324.156,209.3760496,0.22966,0.14834
RSM2457,2389.65,5.7945,5.1746,5.79081,1.16161,779.511,671.0608552,0.26228,0.225791
RSM2356,8957.24,5.45136,3.48672,5.43991,1.49162,442.443,296.6191121,0.19166,0.128492
RSM2958,3863.76,7.38904,5.39567,7.38902,1.09901,1278.92,1163.701877,0.40152,0.365348
RSM0824,1426.31,4.68283,2.83779,4.6809,1.53721,259.346,168.7121473,0.20972,0.136429
RSM3886,4962.74,4.47127,3.21063,4.47127,1.07552,325.494,302.6387236,0.18364,0.170745
RSM4278,87967.9,0.0,0.0,0.0,0.65885,1996.49,3030.264855,0.74484,1.13052
RSM1857,6334.52,6.41327,4.65956,6.41327,1.12783,1675.25,1485.374569,0.48746,0.432212
RSM3045,5512.95,9.95246,9.1911,9.95246,0.909707,1793.4,1971.40398,0.5759,0.633061
RSM3049,3902.07,5.78941,4.64204,5.78941,1.32315,967.4,731.1340362,0.30742,0.23234
RSM1202,1483.99,4.8101,3.29545,4.80966,1.59017,194.577,122.3623889,0.10116,0.0636159
RSM1211,1476.3,4.77617,3.28559,4.77565,1.62215,189.241,116.6606048,0.09966,0.0614371
RSM2725,3743.97,7.63636,6.82671,7.63251,1.41267,1344.86,951.9986975,0.40452,0.286351
RSM2840,2622.91,6.22483,5.35278,6.22483,1.6905,279.127,165.1150547,0.10026,0.0593077
RSM3413,8403.25,5.02954,2.85543,4.91025,1.76603,148.681,84.18939656,0.0859,0.0486401
RSM0171,682.031,3.99092,3.26195,3.99092,2.44532,70.7985,28.95265241,0.07282,0.0297793
RSM3256,4062.69,7.73235,4.1602,7.58397,1.08482,1172.265,1080.607843,0.39702,0.365977
RSM4427,12566.6,5.92256,4.27878,5.89247,1.03427,1158.95,1120.548793,0.36496,0.352866
RSM0846,1472.75,4.0335,3.09731,4.0312,0.963294,12.583,13.06247106,0.04112,0.0426868
RSM1946,2762.08,10.54661,10.45745,10.54661,0.882268,1244.59,1410.671134,0.46444,0.526416
RSM2035,2731.41,10.07029,9.95474,10.07029,1.02149,1057.38,1035.13495,0.39086,0.382636
RSM2018,2773.47,10.32563,10.2098,10.32563,1.16569,1023.93,878.3896233,0.39178,0.336093
RSM3391,16977.9,6.64209,5.02845,6.632,0.808218,2130.78,2636.392656,0.52782,0.653066
RSM1111,1370.45,4.46396,3.25406,4.3946,1.36696,301.232,220.3663604,0.14456,0.105753
RSM0721,1041.11,4.07847,2.71437,4.07847,1.95363,26.3372,13.48116071,0.07014,0.0359024
RSM1422,2707.92,6.20265,4.35013,6.20265,1.16306,1989.81,1710.840369,0.53196,0.457381
RSM2169,3110.78,5.63723,4.61311,5.63723,1.46954,889.671,605.4078147,0.31008,0.211005
RSM3834,3476.16,5.19109,4.86993,5.18738,1.04071,613.104,589.1208886,0.19082,0.183355
RSM1072,5186.13,8.09828,4.42359,8.09828,0.85933,2117.3971,2464.009286,0.57906,0.67385047
RSM2588,3204.88,7.12854,3.26584,7.11878,1.39249,396.933,285.0526754,0.1617,0.116123
RSM1053,3099.17,5.06441,3.74541,5.02547,1.65088,1303.53,789.5970634,0.39964,0.242077
RSM3104,3359.89,5.09262,3.5697,5.08241,1.45149,655.344,451.4974268,0.22652,0.15606
RSM0463,1367.94,5.46185,5.06196,5.40742,0.991485,1104.48,1113.965416,0.3745,0.377716
RSM0057,650.528,5.275,4.57502,5.23103,1.20581,950.186,788.0064023,0.33816,0.280443
RSM2655,2490.44,4.39347,3.53304,4.39347,1.30634,279.715,214.1211323,0.1406,0.107629
RSM1245,1382.08,4.71118,4.05137,4.70087,1.96063,262.674,133.9742838,0.1446,0.0737517
RSM2992,2720.59,4.45544,3.93912,4.44865,1.99203,199.496,100.1470861,0.12554,0.0630212
RSM4479,39534.9,6.5088,4.06646,6.48701,1.06518,1209.6334,1135.614075,0.3308,0.31055797
RSM1117,3308.66,5.24214,3.30982,5.22706,0.971684,711.002,731.7214238,0.32068,0.330025
RSM3269,6774.23,4.65997,2.48818,4.55272,1.44949,144.968,100.0131081,0.071,0.0489827
RSM2824,3674.48,5.66016,4.49241,5.66016,1.27175,966.9344,760.317987,0.32904,0.2587295
RSM3159,3370.2,5.4068,4.18825,5.4054,1.41887,368.105,259.4353253,0.18788,0.1324151
RSM4459,33066.6,12.67704,9.31362,12.66696,0.655199,1564.93,2388.480446,0.5809,0.886601
RSM2767,3533.61,5.59343,4.88116,5.59343,1.10464,1418.13,1283.793815,0.38196,0.345778
RSM2754,3612.1,5.7034,4.97261,5.54406,1.0469,1444.03,1379.339001,0.38602,0.368725
RSM2464,8047.65,8.76686,5.54904,7.75415,0.758956,1940.91,2557.341928,0.57274,0.754642
RSM2901,3324.05,5.66244,2.97964,5.65647,1.37084,528.774,385.7299174,0.23226,0.169429
RSM4550,25733.8,10.77761,8.01894,10.77717,0.584808,1939.03,3315.669416,0.64936,1.11038
RSM0533,2881.47,7.28809,7.1769,7.28809,1.35972,1429.4,1051.245845,0.477,0.350809
RSM1772,2252.08,5.73499,5.10341,5.72616,1.20537,998.924,828.7281084,0.37448,0.310675
RSM2848,2793.64,4.56896,3.82437,4.54982,1.42368,399.664,280.7260058,0.18992,0.1334
RSM1753,2102.36,5.97222,5.38811,5.95841,1.10964,1049.73,946.0095166,0.352,0.31722
RSM1801,3799.11,4.84074,4.45864,4.84074,1.17554,601.5658,511.7357129,0.23796,0.2024255
RSM2846,2822.95,4.51109,3.41338,4.48101,1.61175,274.77,170.4792927,0.17256,0.107064
RSM1757,1971.21,5.10968,4.35413,5.09224,1.37878,667.343,484.0097768,0.2546,0.184656
RSM1557,3604.52,4.86145,3.74941,4.84403,1.24376,343.905,276.5043095,0.1966,0.1580697
RSM1181,1615.26,5.87924,5.2518,5.87924,1.52853,674.232,441.0983101,0.22942,0.150092
RSM3781,4560.5,4.40281,2.81637,4.39884,1.53474,175.126,114.1079271,0.07842,0.0510966
RSM2732,2831.02,5.3844,4.07127,5.3844,1.26325,619.686,490.5489808,0.24256,0.192012
RSM1864,2107.54,4.42185,2.43004,4.41873,1.44542,152.11,105.2358484,0.1067,0.0738196
RSM4174,5815.33,4.04292,2.94858,4.03909,1.39082,44.3364,31.87788499,0.05058,0.0363672
RSM0677,1734.63,7.09169,4.92914,7.08099,2.29972,1132.64,492.5121319,0.3976,0.172891
RSM4077,11681.0,9.58182,5.9765,9.29598,0.840674,2178.73,2591.646703,0.64814,0.770976
RSM4040,17892.4,14.23644,11.75665,14.23644,0.378656,1888.48,4987.323587,0.78882,2.08321
RSM4333,7716.93,4.75469,2.59556,4.52762,1.27968,398.322,311.2668792,0.15794,0.123421
RSM3969,5262.7,5.57616,4.37097,5.56477,1.14473,837.977,732.0302604,0.2514,0.219614
RSM1567,3844.44,5.9996,4.29075,5.9996,1.32095,607.8007,460.123926,0.22544,0.17066421
RSM0447,1255.95,6.28705,5.508,6.2848,1.24834,1042.57,835.1650993,0.32304,0.258776
RSM2679,3572.6,5.40371,3.22299,5.39117,2.40788,471.426,195.7846737,0.19956,0.0828778
RSM2347,2105.04,4.32919,3.1465,4.32311,1.30552,141.481,108.3713769,0.13686,0.104831
RSM3768,6715.34,9.55583,4.63693,9.55583,0.834794,1540.43,1845.28159,0.48464,0.58055
RSM4421,19366.9,9.10111,6.40889,9.10064,0.579676,2307.96,3981.465508,0.68196,1.17645
RSM3891,9059.2,10.37041,7.95909,10.26711,0.677921,1840.16,2714.416577,0.60876,0.897981
RSM0059,1398.01,5.5413,4.80567,5.5333,1.19582,1046.26,874.9310097,0.33578,0.280794
RSM0060,1421.84,5.54513,4.92009,5.54513,1.34386,918.064,683.1544953,0.31948,0.237732
RSM0282,1374.9,5.43678,4.75451,5.43678,1.24526,1127.27,905.2487031,0.36752,0.295134
RSM0382,1149.62,5.69047,3.03362,5.69047,1.8026,605.658,335.9913458,0.29218,0.162088
RSM3558,3821.37,4.1569,3.45207,4.13312,1.53558,122.755,79.94047852,0.08718,0.0567735
RSM0645,2327.13,4.75354,4.10738,4.7513,2.43205,313.228,128.79176,0.1381,0.0567834
RSM0641,2349.84,4.86901,4.27875,4.86901,1.90484,347.714,182.5423658,0.14302,0.0750822
RSM2082,2775.09,5.56128,3.90775,5.56038,1.25158,1068.56,853.7688362,0.36694,0.293181
RSM3548,6746.54,12.85281,10.88454,12.85281,0.723595,1616.61,2234.136499,0.55606,0.768469
RSM0794,1516.75,4.34401,3.08533,4.22396,1.42106,249.816,175.7955329,0.2249,0.158262
RSM3902,6985.98,9.26871,4.50421,9.2687,0.952087,1438.02,1510.387181,0.46152,0.484746
RSM3296,2974.92,3.83347,2.61175,3.83347,1.15257,1.98506,1.722290186,0.0,0.0
RSM0844,1139.17,7.39284,4.83476,7.39284,1.80811,655.249,362.394434,0.25212,0.139438
RSM3139,3060.84,4.81247,3.05568,4.78767,1.46668,331.713,226.1658985,0.17432,0.118854
RSM2364,5574.79,5.27989,4.58936,5.26433,1.11804,816.185,730.0141319,0.29876,0.267218
RSM0609,1752.46,6.90619,6.37667,6.76731,0.69817,1849.3,2648.781815,0.57292,0.820603
RSM1774,1896.04,4.62483,4.28304,4.62483,1.33462,469.826,352.0297913,0.2764,0.207101
RSM4004,4501.02,4.97221,2.54199,3.47454,1.3463,50.8146,37.74389066,0.03744,0.0278096
RSM1286,1310.7,4.533,2.83696,4.533,1.51238,127.176,84.08997739,0.08328,0.0550654
RSM1601,2462.0,5.21671,3.87145,5.19998,1.45236,1237.33,851.9444215,0.3817,0.262813
RSM0876,2706.01,9.14224,6.89364,9.14224,1.35956,1638.59,1205.235517,0.57064,0.419724
RSM2488,3120.89,7.80785,6.68696,7.80785,0.911859,1333.17,1462.035249,0.42652,0.467748
RSM0956,1622.45,4.63098,4.29599,4.62617,1.36764,601.877,440.0843789,0.30978,0.226507
RSM2422,2315.48,4.70974,3.99855,4.70974,1.47945,179.923,121.6147893,0.10184,0.0688366
RSM0147,856.06,4.87431,3.86596,4.87431,1.94999,684.248,350.8982097,0.27562,0.141344
RSM2806,2869.09,6.13543,5.59613,6.13543,1.47554,753.275,510.5080174,0.2369,0.160551
RSM3485,5236.48,6.70842,5.60789,6.69161,1.32053,1153.03,873.15699,0.35614,0.269694
RSM2911,2822.82,4.38811,2.87938,4.38811,1.28358,181.164,141.1396251,0.17568,0.136868
RSM3949,6717.17,5.4738,4.63859,5.45736,1.20371,1074.69,892.8147145,0.34698,0.288258
RSM3876,4838.24,5.79765,4.80371,5.79765,1.25943,862.374,684.7335699,0.23026,0.182829
RSM0132,1777.13,4.37236,3.14456,4.37236,3.10112,243.451,78.50421783,0.19272,0.0621452
RSM0789,1114.29,4.53518,4.08657,4.53518,1.41548,395.256,279.2381383,0.1836,0.129709
RSM4557,33902.1,21.55745,10.38341,21.54118,0.51708,1725.75,3337.491297,0.73248,1.41657
RSM3527,4336.76,5.04305,3.66818,5.03506,1.84132,355.978,193.3276128,0.16596,0.0901308
RSM3922,8199.71,9.06566,7.46673,9.06566,0.753022,1933.32,2567.415029,0.61568,0.817612
RSM3122,3823.23,6.31603,3.45605,6.31603,1.18528,887.41,748.6922921,0.32294,0.272458
RSM3222,6622.8,8.96214,8.00387,8.96214,0.962495,1907.31,1981.631073,0.60634,0.629967
RSM1797,2115.07,5.51848,4.07497,5.51366,1.34514,1043.64,775.8597618,0.31032,0.230697
RSM2568,2958.73,5.68699,4.77458,5.65626,1.19715,795.655,664.6243161,0.30552,0.255206
RSM2793,2923.94,4.57423,3.31563,4.52691,1.69437,215.003,126.8925913,0.13978,0.0824966
RSM2315,3002.43,5.06313,3.04753,4.83261,1.59184,738.775,464.1012916,0.2694,0.169238
RSM0304,739.389,4.01364,3.19633,4.01364,1.38412,31.1432,22.50036124,0.04988,0.0360373
RSM4358,21568.6,17.77125,7.51947,12.45937,0.588936,2175.73,3694.340302,0.73902,1.25484
RSM1300,1545.6,5.54275,4.60824,5.54275,1.0598,617.0182,582.202491,0.20676,0.195094
RSM1992,3259.09,5.13294,4.08127,4.81094,1.41697,1158.29,817.441442,0.38476,0.271537
RSM3628,5257.36,6.47723,4.9888,6.46954,1.38224,1180.7,854.1931937,0.38302,0.277101
RSM1381,1652.35,4.73554,3.50341,4.73554,1.41341,522.875,369.938659,0.22578,0.159741
RSM1875,9001.66,12.50562,10.18861,12.50562,0.9535,1321.99,1386.460409,0.51256,0.537556
RSM1667,2652.65,6.08784,5.5601,6.06673,1.08232,1450.79,1340.4446,0.45362,0.419116
RSM2211,2964.83,7.72002,4.28453,7.71744,1.05835,1444.62,1364.97378,0.4442,0.419709
RSM3968,5283.39,4.25504,3.06381,4.24963,1.27158,319.896,251.5736328,0.1757,0.138175
RSM2641,5352.97,4.27166,3.21122,4.2697,1.25505,379.761,302.5863511,0.19094,0.152137
RSM3499,3665.34,4.56718,3.56695,4.54309,1.41248,256.917,181.890717,0.11122,0.0787409
RSM1646,1598.14,4.36505,3.62057,4.36492,1.46153,198.941,136.1183144,0.12498,0.0855132
RSM0674,1550.35,8.27361,7.69473,8.27361,1.26901,1248.95,984.192402,0.42738,0.336781
RSM4349,41220.5,14.75395,5.96588,14.75395,0.935418,1675.62,1791.306133,0.53432,0.57121
RSM3865,5106.42,6.12931,4.00789,6.08289,1.09199,642.774,588.6262695,0.24488,0.224251
RSM0686,1544.98,8.28575,7.67913,8.28575,1.27602,1249.74,979.4047115,0.4243,0.332519
RSM2529,2440.1,4.01814,2.84803,3.96196,1.97564,47.9003,24.2454597,0.0612,0.0309774
RSM3434,7678.51,5.76653,4.2611,5.71921,1.16552,579.71,497.3831423,0.19566,0.167873
RSM3268,4456.0,11.41966,9.93708,11.41966,0.952882,1373.44,1441.353704,0.46546,0.488476
RSM0022,712.833,5.81424,4.85489,5.81424,1.50508,1571.24,1043.957796,0.48256,0.320622
RSM0386,1333.56,5.02301,4.09369,4.55915,1.6437,1145.54,696.9276632,0.39382,0.239594
RSM0381,1320.81,5.00612,4.07229,4.54032,1.30745,1164.92,890.986271,0.394,0.30135
RSM0374,1283.4,4.8742,3.92497,4.87073,1.75108,1067.78,609.7836764,0.3776,0.215639
RSM0380,1289.53,4.95479,3.97477,4.74982,1.78246,1059.53,594.4200711,0.38502,0.216005
RSM3044,3054.5,5.38703,4.44024,5.38703,1.21672,934.961,768.4274114,0.3172,0.2607
RSM3990,6879.6,6.39676,5.12111,6.38825,0.921688,1491.7,1618.443551,0.4001,0.434095
RSM4490,30493.2,18.51896,8.56409,13.24228,0.489414,2150.28,4393.580895,0.7722,1.5778
RSM2619,2423.3,5.34783,4.01094,5.33241,1.28087,496.62,387.720846,0.17666,0.137922
RSM3812,6383.0,6.03433,4.98914,5.98921,1.54389,1136.38,736.0498481,0.3352,0.217114
RSM0891,1463.38,4.01562,2.88489,3.90861,1.79796,75.3489,41.90799573,0.10814,0.0601458
RSM0890,1446.97,3.97953,2.87416,3.95488,1.85031,56.6097,30.59471116,0.09916,0.0535911
RSM0888,1457.8,4.00725,2.89849,3.88651,1.82892,69.0688,37.76480108,0.12144,0.0663997
RSM3083,3373.21,4.44927,3.87743,4.29992,1.20216,275.188,228.911293,0.13714,0.1140779
RSM1362,1758.35,5.25513,3.88718,5.24992,2.03578,390.85,191.9902936,0.162,0.0795765
RSM1784,1763.31,4.00604,3.07895,4.00604,2.12797,24.5158,11.52074512,0.03584,0.0168423
RSM1361,1751.85,5.22916,3.84535,5.22916,1.97617,372.474,188.4827722,0.1602,0.0810661
RSM1563,1755.76,4.98572,2.78493,4.62911,2.07779,211.608,101.8428234,0.12164,0.0585431
