type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric
RSM2666,3039.05,6.29773,3.71971,6.29293,1.09675,936.198,853.6111238,0.32494,0.296276
RSM3706,4048.59,4.46512,3.23821,4.458,1.46407,129.985,88.7833232,0.0769,0.052525
RSM1304,1887.09,5.11712,3.55603,5.11324,2.35598,292.988,124.35929,0.14326,0.060807
RSM2735,2407.75,4.11202,2.70664,4.10571,1.72145,10.9966,6.387986872,0.0143,0.00830693
RSM3618,3935.02,5.3891,3.9099,5.3891,1.74433,328.174,188.1375657,0.106,0.0607684
RSM1837,2098.12,5.2733,3.44165,5.13632,1.92322,326.887,169.9685943,0.15726,0.0817689
RSM1269,1588.51,4.56325,3.36486,4.5467,1.59158,327.889,206.0147778,0.18698,0.11748
RSM4290,21443.7,10.94579,5.16973,10.93074,0.864094,1496.700838,1732.10419,0.45072,0.52161
RSM2524,3690.36,6.42465,5.40382,6.41795,0.966783,1733.1212,1792.668262,0.50408,0.5213997
RSM0758,1553.09,5.28453,4.80173,5.27514,1.43501,1161.6,809.471711,0.3853,0.268499
RSM2742,3311.16,6.40577,5.56715,6.25288,1.14819,1152.157,1003.455003,0.3721,0.324074
RSM2744,3324.48,6.45056,5.56339,6.34518,1.15416,1165.771,1010.06013,0.37308,0.32325
RSM2739,3312.04,6.39416,5.57332,6.29797,1.14467,1140.211,996.1045542,0.37022,0.323429
RSM0182,995.002,5.10607,4.02699,5.08197,1.11842,1377.72,1231.844924,0.41888,0.37453
RSM1047,1846.53,7.14061,4.94756,7.14061,1.20532,1241.45,1029.975442,0.4184,0.347129
RSM1005,1712.75,5.28866,4.84747,5.2531,1.29946,935.33,719.7836024,0.33626,0.258769
RSM0195,858.107,5.52911,4.43587,5.49964,1.29684,1054.18,812.8836248,0.35448,0.273342
RSM0197,1019.27,4.88781,3.95017,4.78327,1.29203,1294.91,1002.22905,0.43232,0.334606
RSM0181,1008.22,4.89671,3.9272,4.87864,1.32887,1276.92,960.906635,0.431,0.324335
RSM0176,817.822,4.0512,2.45744,4.03657,1.67891,132.15,78.71178324,0.18042,0.107463
RSM0703,2109.66,7.38705,6.71212,7.38296,0.935187,1995.59,2133.894077,0.603,0.644791
RSM3194,4402.56,7.00326,4.86289,7.00219,1.1818,1417.3,1199.272296,0.42886,0.362886
RSM3898,5305.41,4.91604,3.64149,4.71388,1.41984,478.249,336.8330234,0.18942,0.133409
RSM1205,1480.35,4.79448,3.30829,4.79412,1.45261,194.767,134.0807237,0.1007,0.0693236
RSM1210,1505.53,4.90625,3.37464,4.90625,1.54127,216.743,140.6262368,0.10408,0.0675285
RSM0246,930.118,4.57019,3.30547,4.02594,1.70236,374.941,220.2477737,0.24238,0.142379
RSM2963,3580.96,4.62596,4.14329,4.62016,1.44887,401.74919,277.2844976,0.16368,0.112971
RSM3826,8218.68,7.01725,4.86799,6.99499,1.23133,1737.31,1410.921524,0.5191,0.421576
RSM4556,37012.9,21.8367,11.13953,21.8367,0.43704,1879.33,4300.132711,0.7621,1.74377
RSM4528,26102.3,13.8531,8.72821,13.83637,0.762381,2052.73,2692.525129,0.65764,0.862614
RSM1347,1547.19,4.44401,2.68849,4.42876,1.31049,165.008,125.913208,0.14542,0.110966
RSM1764,5727.71,10.22208,8.47748,10.22208,0.840267,2069.82,2463.288455,0.73298,0.872318
RSM0762,1374.76,4.48241,3.82945,4.48241,1.26627,440.27,347.690461,0.27676,0.218563
RSM0947,2437.06,10.05429,4.94116,10.05429,0.926612,2091.02,2256.629528,0.64052,0.691249
RSM0225,2966.49,6.7326,6.29437,6.73187,1.53602,1205.52,784.8335308,0.40598,0.264306
RSM0604,1525.14,6.87869,6.48693,6.87869,1.63046,1364.66,836.9785214,0.46916,0.287748
RSM2393,4983.5,6.89842,3.95926,6.88629,1.2173,949.876,780.3138092,0.31004,0.254696
RSM1172,6470.85,10.27348,3.66364,10.27348,1.54552,1138.08,736.3735183,0.40876,0.264481
RSM4088,7107.17,6.45802,4.57521,6.44061,1.03521,1241.24,1199.022421,0.3705,0.3579
RSM0904,1217.26,5.50863,3.38524,5.50863,1.27617,278.952,218.5852982,0.13486,0.105675
RSM2247,7836.56,5.57744,4.95549,5.57327,1.06968,1545.55,1444.871363,0.47924,0.448022
RSM3392,4825.66,6.24874,4.05552,6.23411,0.996458,1201.74,1206.011693,0.3608,0.362083
RSM3084,3156.06,4.78618,3.28934,3.84091,1.51146,416.919,275.8385931,0.14504,0.09596
RSM0383,1052.35,4.13407,3.39901,4.11483,1.17335,159.588,136.010568,0.14268,0.1216
RSM0664,1083.04,5.17343,4.21878,5.16849,1.58915,503.005,316.5245572,0.20206,0.12715
RSM0658,1078.24,5.14094,4.21977,5.13595,1.60723,501.623,312.1040548,0.20066,0.124849
RSM4160,6418.85,6.91296,3.51033,6.91295,1.15045,548.192,476.5022383,0.20604,0.179096
RSM2987,4647.03,8.11845,6.60905,8.11698,0.914085,1867.37,2042.884414,0.52656,0.576051
RSM3184,2974.4,4.54615,3.26956,4.38676,1.31264,219.309,167.0747501,0.11434,0.0871066
RSM0400,947.001,4.38053,3.59011,4.38053,1.51154,140.536,92.97537611,0.1809,0.119679
RSM3260,4885.59,5.18429,3.8135,5.13547,1.17196,1211.57,1033.798082,0.41046,0.350234
RSM3649,4423.38,4.37373,2.43151,4.37373,1.63905,91.4111,55.77078186,0.07636,0.046588
RSM4607,61555.0,16.5482,9.24625,16.5482,0.458126,1971.34,4303.051999,0.77788,1.69796
RSM0278,1158.36,5.7573,4.86083,5.74121,1.47804,1066.89,721.8275554,0.36134,0.244472
RSM3767,8069.7,9.52458,5.89518,9.49646,0.725604,2163.61,2981.805503,0.59902,0.825546
RSM1654,5368.06,8.60977,8.56919,8.60977,1.61724,1165.05,720.3940046,0.39608,0.244911
RSM0023,1583.12,7.09435,6.39708,7.09435,1.10433,2101.33,1902.809849,0.62532,0.566244
RSM2635,5195.57,12.81022,4.05785,12.67653,0.771367,1802.13,2336.280914,0.61338,0.795185
RSM2475,11295.3,9.99333,8.10197,9.99333,0.81142,1608.88,1982.795593,0.49826,0.61406
RSM1212,4221.36,9.4187,3.8157,9.4187,1.15388,1291.54,1119.301834,0.44194,0.383004
RSM2442,2491.96,5.67349,3.43363,5.66285,1.39295,610.215,438.073872,0.23604,0.169454
RSM2481,12255.2,6.90304,3.45469,6.90304,3.02612,1045.23,345.4026939,0.30982,0.102382
RSM0379,1419.9,5.90138,4.68963,5.90138,1.54375,1530.37,991.3327935,0.47154,0.30545
RSM2817,2787.21,4.46919,3.89223,4.46919,1.80004,307.201581,170.6637525,0.13252,0.0736208
RSM1371,1577.75,5.56488,4.14994,5.56158,1.64984,409.625,248.2816516,0.17998,0.109089
RSM2799,6259.51,5.78145,3.73909,5.7809,1.26392,812.174,642.5833914,0.28644,0.226629
RSM2980,6252.23,5.51731,3.61848,5.51731,1.29733,772.076,595.1269145,0.27866,0.214795
RSM2115,2299.91,5.55777,4.9763,5.55645,1.04913,913.921,871.1227398,0.29132,0.277678
RSM0123,687.183,3.80682,2.47646,3.8057,2.08632,3.13664,1.50343188,0.0,0.0
RSM3918,4661.25,4.91078,3.67872,4.91078,1.2863,354.28,275.4256394,0.14926,0.116039
RSM3661,3924.2,4.61965,3.1286,4.61849,1.62266,227.773,140.370133,0.09882,0.0609001
RSM0010,398.499,4.37966,3.37801,4.37966,1.5872,279.464,176.0735887,0.23828,0.150126
RSM2968,9455.5,11.64628,2.646,11.64628,0.906314,1328.0,1465.275832,0.4942,0.545286
RSM2542,2595.96,7.72615,5.77662,7.72615,1.17897,1044.09,885.5950533,0.33384,0.283162
RSM0433,1188.5,5.32747,3.70757,5.32747,1.44986,768.229,529.8642628,0.32754,0.225912
RSM1873,2838.07,7.20254,4.1628,7.20254,0.886931,1608.03,1813.027169,0.48888,0.551204
RSM3401,5345.75,7.36237,3.74541,7.3233,1.05285,1314.82,1248.81987,0.44948,0.426916
RSM3528,4895.65,5.34738,3.24586,5.34067,1.05342,700.26,664.7491029,0.2796,0.26542
RSM2159,2808.35,5.91163,5.00426,5.91033,1.15595,1030.89,891.8119296,0.35554,0.307575
RSM1301,1620.68,4.23694,3.14306,4.16749,1.35093,56.6615,41.9425877,0.11148,0.082521
RSM0709,1848.18,5.89138,4.8352,5.89138,1.26516,1497.56,1183.692181,0.4641,0.36683
RSM1603,1473.69,4.12479,3.66059,4.10123,1.63001,30.7243,18.84914816,0.03814,0.0233986
RSM2126,2042.44,4.90227,2.42114,4.85767,1.78613,146.602,82.07801224,0.0918,0.0513961
RSM4521,31053.8,10.6197,8.65931,10.61329,0.747212,1449.26,1939.556645,0.46496,0.62226
RSM0458,952.607,4.9496,4.4506,4.9496,1.68807,666.751,394.9782888,0.30844,0.182717
RSM0621,1748.47,5.44554,4.19244,5.4181,1.31908,1673.49,1268.679686,0.49836,0.377809
RSM3016,5064.62,8.06476,5.62993,7.88344,0.749362,2104.38,2808.228867,0.5881,0.784801
RSM3040,12074.8,5.37744,3.53202,5.37744,1.38918,387.124,278.6708706,0.1615,0.116255
RSM3993,9411.35,9.6188,8.65235,9.60052,0.750661,1977.13,2633.852032,0.57658,0.768097
RSM4536,12071.1,5.69113,3.08506,5.69113,1.29178,356.786,276.1971853,0.12,0.0928948
RSM2415,4200.96,14.24572,5.52422,14.23389,0.741721,1671.43,2253.448399,0.60548,0.816318
RSM0957,1125.14,4.45454,3.05423,4.4425,1.38548,231.526,167.108872,0.12598,0.0909289
RSM4561,26099.7,12.16451,6.87343,12.16451,0.774775,2115.72939,2730.76621,0.6064,0.782679
RSM2202,4571.99,6.31092,5.4451,6.31092,1.11362,706.951,634.8224709,0.22026,0.197787
RSM2279,3115.81,7.0104,5.91491,7.00826,1.01758,1441.41,1416.507793,0.45854,0.450617
RSM1611,4897.13,7.2178,3.83248,7.2178,1.09612,1019.12,929.7522169,0.36538,0.333341
RSM2200,3350.47,6.01281,4.49425,5.60772,1.02042,1741.96,1707.100998,0.47852,0.468945
RSM2492,5157.83,11.50657,8.6404,11.49116,0.609882,1857.8029,3046.167783,0.62484,1.0245296
RSM3940,12006.9,4.04776,3.6459,4.03742,2.02495,61.4022,30.32282279,0.02306,0.0113879
RSM3761,8952.17,5.50313,2.7686,5.50313,1.67175,117.972,70.5679677,0.05392,0.0322535
RSM3764,8800.71,5.4461,2.68608,5.4461,1.51016,112.092,74.22524766,0.05314,0.0351884
RSM3026,5275.34,6.32722,5.3124,6.00348,0.832586,2084.17,2503.248914,0.55578,0.667535
RSM4460,19865.1,6.31996,4.58953,6.31996,0.918625,1079.07,1174.657777,0.31408,0.341902
RSM1292,2966.91,14.69858,14.40453,14.61633,0.993806,1261.03,1268.889502,0.57538,0.578966
RSM1250,2620.14,14.25248,13.92666,14.25248,0.952578,1137.93,1194.579342,0.54816,0.575449
RSM1679,2076.86,4.14947,2.50032,4.14617,1.84844,40.656,21.99476315,0.04806,0.0260003
RSM1853,1841.44,5.15517,3.73399,5.14768,1.63871,480.677,293.326458,0.16876,0.102984
RSM2336,4121.3,6.43284,5.09662,6.26908,0.76383,2173.54,2845.580823,0.59578,0.779991
RSM4597,25922.5,11.66545,8.26406,11.64777,1.01014,1402.35,1388.272913,0.47878,0.473972
RSM3437,11697.2,14.55985,13.78223,14.55985,0.784824,1374.24,1751.016788,0.53572,0.682599
RSM2276,2039.58,5.22878,2.45714,5.04818,1.1124,197.713,177.7355268,0.15322,0.137738
RSM0710,2250.75,4.96103,4.24915,4.96103,1.44232,680.773,471.9985856,0.23638,0.163888
RSM0019,525.197,4.08097,3.25892,4.06963,1.25703,159.543,126.9205986,0.26482,0.210672
RSM0021,536.639,4.24556,3.3625,4.2354,1.23171,238.294,193.4659944,0.26986,0.219094
RSM3237,7050.55,5.17235,3.93529,5.17234,1.20763,392.8273,325.2877951,0.16308,0.1350413
RSM1771,2092.97,4.15152,3.42748,4.13309,1.37462,46.0877,33.52759308,0.06268,0.0455982
RSM3188,3972.55,7.82073,4.889,7.82073,1.29296,1139.39,881.226024,0.33914,0.262298
RSM0513,3322.66,6.00702,4.53801,5.94066,1.30429,1621.13,1242.921436,0.51126,0.391982
RSM2249,2372.12,5.68133,2.7509,5.67971,1.82686,456.594,249.9337661,0.19868,0.108755
RSM3421,4626.01,5.21025,3.12517,5.06668,1.32697,668.356,503.6707687,0.3136,0.236328
RSM2717,2876.65,4.91554,3.81154,4.8497,1.42961,368.55,257.7975812,0.1841,0.128776
RSM2474,5210.92,7.54991,6.34934,7.53102,1.01424,1759.23,1734.530289,0.54526,0.537606
RSM2728,3251.43,6.95292,4.98162,6.95292,1.09152,1293.39,1184.943931,0.39204,0.35917
RSM0048,1534.52,7.37662,6.99185,7.37662,1.00469,1557.73,1550.45835,0.52244,0.52
RSM1238,1689.25,5.64907,5.07129,5.64636,1.2313,945.801,768.1320556,0.32318,0.262471
RSM1670,2406.32,5.25442,4.88912,5.25442,1.20931,1016.65,840.686011,0.339,0.280325
RSM1838,11788.1,11.6475,5.80016,11.64729,0.734641,2019.0,2748.281133,0.6564,0.893498
RSM1498,5016.97,5.64862,4.46205,5.64804,1.16543,1370.29,1175.780613,0.42898,0.368089
RSM1320,4968.85,6.46125,4.54999,6.4402,1.13178,1792.38,1583.682341,0.51036,0.450934
