valid_loss,valid_mse,valid_mae,valid_r2,epoch,step,train_loss,train_mse,train_mae,train_r2,test_loss,test_mse,test_mae,test_r2
11.961984634399414,11.961984634399414,3.291250467300415,-9.876100540161133,0,41,,,,,,,,
,,,,1,49,10.501908302307129,10.501908302307129,3.050942897796631,-7.673404693603516,,,,
6.585949420928955,6.585949420928955,2.368335008621216,-4.982025146484375,1,83,,,,,,,,
,,,,2,99,3.2141451835632324,3.2141451835632324,1.5376150608062744,-1.6036672592163086,,,,
1.2511420249938965,1.2511420249938965,0.8584851622581482,-0.12477720528841019,2,125,,,,,,,,
,,,,3,149,0.9262781143188477,0.9262781143188477,0.8096408843994141,-0.2622196674346924,,,,
1.125244379043579,1.125244379043579,0.8194853663444519,-0.012505391612648964,3,167,,,,,,,,
,,,,4,199,0.972293496131897,0.972293496131897,0.8123269081115723,-0.084816575050354,,,,
1.100782036781311,1.100782036781311,0.8117203712463379,0.008293054066598415,4,209,,,,,,,,
,,,,5,249,0.9532878398895264,0.9532878398895264,0.7631256580352783,0.05765014886856079,,,,
1.0851572751998901,1.0851572751998901,0.8057652711868286,0.021440137177705765,5,251,,,,,,,,
1.0748817920684814,1.0748817920684814,0.8022856712341309,0.03000483289361,6,293,,,,,,,,
,,,,7,299,1.032057762145996,1.032057762145996,0.8239920139312744,0.06943684816360474,,,,
1.0678496360778809,1.0678496360778809,0.8000677227973938,0.0358271449804306,7,335,,,,,,,,
,,,,8,349,1.2170100212097168,1.2170100212097168,0.8120332360267639,-0.17425179481506348,,,,
1.0628960132598877,1.0628960132598877,0.7985581755638123,0.03990498185157776,8,377,,,,,,,,
,,,,9,399,1.1472021341323853,1.1472021341323853,0.8650306463241577,-0.0726480484008789,,,,
1.0592610836029053,1.0592610836029053,0.7972763180732727,0.04289008304476738,9,419,,,,,,,,
,,,,10,449,1.0663625001907349,1.0663625001907349,0.8398629426956177,-0.004677772521972656,,,,
1.056404948234558,1.056404948234558,0.7964462041854858,0.04524364694952965,10,461,,,,,,,,
,,,,11,499,0.7856218814849854,0.7856218814849854,0.6972503066062927,0.14348936080932617,,,,
1.054046630859375,1.054046630859375,0.7956212759017944,0.0471985749900341,11,503,,,,,,,,
1.0519813299179077,1.0519813299179077,0.7946792840957642,0.048923369497060776,12,545,,,,,,,,
,,,,13,549,0.7513794302940369,0.7513794302940369,0.7132212519645691,0.15082287788391113,,,,
1.0500545501708984,1.0500545501708984,0.7936520576477051,0.050553254783153534,13,587,,,,,,,,
,,,,14,599,0.9409891366958618,0.9409891366958618,0.8079418540000916,0.07399368286132812,,,,
1.0482139587402344,1.0482139587402344,0.7926425337791443,0.052129022777080536,14,629,,,,,,,,
,,,,15,649,1.0860811471939087,1.0860811471939087,0.8112221956253052,-0.06246745586395264,,,,
1.0461264848709106,1.0461264848709106,0.7916918992996216,0.05393775552511215,15,671,,,,,,,,
,,,,16,699,0.9614406228065491,0.9614406228065491,0.7477269768714905,0.12320476770401001,,,,
1.0442640781402588,1.0442640781402588,0.7907426953315735,0.05556698143482208,16,713,,,,,,,,
,,,,17,749,1.0499725341796875,1.0499725341796875,0.7745530009269714,0.016991853713989258,,,,
1.042183756828308,1.042183756828308,0.7898008823394775,0.05740804597735405,17,755,,,,,,,,
1.04008150100708,1.04008150100708,0.788936197757721,0.059258345514535904,18,797,,,,,,,,
,,,,19,799,0.8104668855667114,0.8104668855667114,0.7256963849067688,0.15494519472122192,,,,
1.0379878282546997,1.0379878282546997,0.7878388166427612,0.06113835424184799,19,839,,,,,,,,
,,,,20,849,0.9118544459342957,0.9118544459342957,0.7460325956344604,0.10931652784347534,,,,
1.0357273817062378,1.0357273817062378,0.7867611050605774,0.06314297020435333,20,881,,,,,,,,
,,,,21,899,0.8844305276870728,0.8844305276870728,0.731116533279419,0.06849569082260132,,,,
1.033582329750061,1.033582329750061,0.7854598760604858,0.0650428757071495,21,923,,,,,,,,
,,,,22,949,0.9757376909255981,0.9757376909255981,0.8082159757614136,0.037339210510253906,,,,
1.0309650897979736,1.0309650897979736,0.7839794754981995,0.06742697209119797,22,965,,,,,,,,
,,,,23,999,0.6193121671676636,0.6193121671676636,0.6096091270446777,0.21904247999191284,,,,
1.0287296772003174,1.0287296772003174,0.7825525403022766,0.06944862753152847,23,1007,,,,,,,,
,,,,24,1049,1.230709433555603,1.230709433555603,0.8862649202346802,-0.21626365184783936,,,,
1.0263761281967163,1.0263761281967163,0.7810425162315369,0.07159720361232758,24,1049,,,,,,,,
1.0242414474487305,1.0242414474487305,0.7796698808670044,0.07354865223169327,25,1091,,,,,,,,
,,,,26,1099,1.2640774250030518,1.2640774250030518,0.8766881227493286,-0.04398691654205322,,,,
1.0218541622161865,1.0218541622161865,0.7784512042999268,0.07574217021465302,26,1133,,,,,,,,
,,,,27,1149,1.228569746017456,1.228569746017456,0.9162623882293701,0.00477832555770874,,,,
1.0196449756622314,1.0196449756622314,0.7768321633338928,0.07777905464172363,27,1175,,,,,,,,
,,,,28,1199,0.6717708110809326,0.6717708110809326,0.66410893201828,0.08459204435348511,,,,
1.017646074295044,1.017646074295044,0.775452196598053,0.07963220030069351,28,1217,,,,,,,,
,,,,29,1249,0.8915354609489441,0.8915354609489441,0.7530472874641418,0.005287587642669678,,,,
1.0156896114349365,1.0156896114349365,0.774175226688385,0.08146318793296814,29,1259,,,,,,,,
,,,,30,1299,0.8418026566505432,0.8418026566505432,0.7101659774780273,0.1678561568260193,,,,
1.013880729675293,1.013880729675293,0.7729161381721497,0.08316981047391891,30,1301,,,,,,,,
1.0120608806610107,1.0120608806610107,0.7719148993492126,0.08492947369813919,31,1343,,,,,,,,
,,,,32,1349,0.9041910767555237,0.9041910767555237,0.7693101763725281,0.18472886085510254,,,,
1.0102418661117554,1.0102418661117554,0.7708606123924255,0.08667559176683426,32,1385,,,,,,,,
