,structure,Density
245,RSM2226,2.03225
246,RSM0235,1.94365
247,RSM3270,0.750306
248,RSM0517,2.0435
249,RSM2472,0.888297
250,RSM3040,1.40836
251,RSM3731,1.25231
252,RSM4568,0.755165
253,RSM0226,1.58362
254,RSM4240,0.398147
255,RSM1053,1.66812
256,RSM0380,1.74971
257,RSM0516,1.04013
258,RSM3120,2.12789
259,RSM0723,1.36626
260,RSM4407,0.623397
261,RSM1694,2.1503
262,RSM4188,0.422699
263,RSM3937,1.47836
264,RSM0747,1.40953
265,RSM4501,0.275269
266,RSM1923,0.638093
267,RSM2873,1.23022
268,RSM2657,0.650737
269,RSM0160,1.60519
270,RSM0834,1.82865
271,RSM2955,1.54536
272,RSM0689,1.39086
273,RSM1126,0.575521
274,RSM0991,1.192
275,RSM2886,0.991022
276,RSM2754,1.28389
277,RSM2616,2.1124
278,RSM3159,1.52904
279,RSM1929,0.876961
280,RSM2922,1.64791
281,RSM1902,1.5195
282,RSM4397,0.28827
283,RSM0046,2.7979
284,RSM0908,1.65973
285,RSM1963,1.75188
286,RSM0981,1.01115
287,RSM3261,1.64154
288,RSM1756,1.41688
289,RSM0055,1.26024
290,RSM4474,0.705456
291,RSM4190,0.807184
292,RSM0871,1.13637
293,RSM2844,0.688504
294,RSM0271,1.72199
295,RSM0479,1.90387
296,RSM0505,1.73024
297,RSM4293,0.454109
298,RSM0709,1.65748
299,RSM1411,1.14637
300,RSM4035,0.438374
301,RSM1078,1.92571
302,RSM0251,1.08542
303,RSM0010,1.72581
304,RSM1042,0.668122
305,RSM1674,1.29955
306,RSM2368,0.700167
307,RSM3142,1.375
308,RSM3368,1.11493
309,RSM3941,1.24094
310,RSM2311,1.2611
311,RSM1518,1.34726
312,RSM2494,1.20957
313,RSM2687,1.58449
314,RSM1472,0.820252
315,RSM3761,1.59403
316,RSM1816,1.33933
317,RSM2342,1.29614
318,RSM2305,1.1888
319,RSM0183,0.696941
320,RSM4119,1.5152
321,RSM4380,1.29245
322,RSM2828,1.23032
323,RSM2866,1.57716
324,RSM2946,1.27909
325,RSM0946,0.950282
326,RSM1805,2.11324
327,RSM1237,1.11635
328,RSM1507,1.20731
329,RSM3413,1.99945
330,RSM4143,0.464719
331,RSM0230,1.18585
332,RSM0864,1.35322
333,RSM1290,1.53281
334,RSM0799,1.38872
335,RSM1677,2.21133
336,RSM2705,1.50192
337,RSM2287,1.06977
338,RSM2078,1.71163
339,RSM3258,2.13114
340,RSM1589,0.740723
341,RSM2443,1.1738
342,RSM3001,0.96984
343,RSM2360,1.03941
344,RSM4226,1.11522
345,RSM0531,1.20107
346,RSM4318,0.985199
347,RSM3111,0.708194
348,RSM0508,1.95877
349,RSM2048,1.4399
350,RSM3639,1.80601
351,RSM1771,1.36013
352,RSM2163,0.382859
353,RSM4041,0.618089
354,RSM3796,1.16171
355,RSM2329,1.49095
356,RSM0628,1.30215
357,RSM2826,1.52864
358,RSM1452,1.72155
359,RSM1177,1.79137
360,RSM0521,1.65505
361,RSM0026,2.13416
362,RSM0652,1.51027
363,RSM4439,1.22314
364,RSM0208,1.3474
365,RSM4327,0.774142
366,RSM1707,1.39677
367,RSM1096,2.4072
368,RSM2196,0.690878
369,RSM1551,1.69558
370,RSM1142,1.61663
371,RSM0860,1.3651
372,RSM3313,0.870514
373,RSM0962,1.06351
374,RSM0429,0.699794
375,RSM3880,1.35351
376,RSM2771,1.16802
377,RSM1543,0.843332
378,RSM0592,1.76176
379,RSM3458,0.608249
380,RSM3972,0.592918
381,RSM0573,2.25089
382,RSM3926,1.19004
383,RSM2531,1.47554
384,RSM0683,1.18357
385,RSM0800,1.49777
386,RSM2903,0.761952
387,RSM3932,0.887175
388,RSM3990,0.917953
389,RSM1336,1.16944
390,RSM1596,1.28315
391,RSM3127,1.28454
392,RSM1766,1.08216
393,RSM1138,1.76664
394,RSM3822,1.21891
395,RSM2603,2.44242
396,RSM0079,2.19272
397,RSM3573,1.06682
398,RSM2597,0.711128
399,RSM3995,0.657722
400,RSM0394,0.942547
401,RSM0844,1.78987
402,RSM2911,1.29286
403,RSM3271,1.22096
404,RSM0791,1.4069
405,RSM4137,1.26064
406,RSM2583,1.56235
407,RSM2110,0.851642
408,RSM2313,2.02931
409,RSM0359,1.10307
410,RSM3661,1.68377
411,RSM0098,1.12274
412,RSM1655,1.40571
413,RSM3265,0.946191
414,RSM3072,1.09764
415,RSM0821,2.22985
416,RSM3222,0.924283
417,RSM4104,0.758362
418,RSM3430,0.828254
419,RSM0452,1.74124
420,RSM3919,1.86111
421,RSM0992,1.2465
422,RSM2327,1.17825
423,RSM3475,1.12579
424,RSM2619,1.31813
425,RSM3248,1.76321
426,RSM0254,1.98829
427,RSM4608,0.966954
428,RSM2434,1.54647
429,RSM3691,0.699553
430,RSM2739,1.12638
431,RSM3635,0.658906
432,RSM4549,1.07931
433,RSM2377,1.49648
434,RSM3914,0.680737
435,RSM0336,2.86136
436,RSM2451,1.33953
437,RSM2950,1.29386
438,RSM1178,0.717988
439,RSM4521,0.833405
440,RSM2710,1.69019
441,RSM3479,0.972696
442,RSM4590,0.864643
443,RSM4368,1.01911
444,RSM1646,1.49336
445,RSM1481,1.67758
446,RSM1291,1.66944
447,RSM3076,1.35744
448,RSM4247,1.11001
449,RSM2990,1.1565
450,RSM2150,1.05924
451,RSM3122,1.16496
452,RSM3243,0.946419
453,RSM2795,1.44303
454,RSM3562,1.22172
455,RSM1069,1.06664
456,RSM3589,1.29732
457,RSM0107,2.00053
458,RSM3875,1.27075
459,RSM3752,1.03784
460,RSM1996,1.22081
461,RSM0933,1.4042
462,RSM4128,0.48139
463,RSM4242,1.2368
464,RSM0875,1.53796
465,RSM2233,1.56832
466,RSM3871,1.26026
467,RSM4175,0.914681
468,RSM2132,1.50243
469,RSM3674,1.47475
470,RSM3112,0.866152
471,RSM0257,1.94301
472,RSM2546,1.19375
473,RSM2218,1.15319
474,RSM3888,1.55065
475,RSM0261,1.1713
476,RSM2924,0.99932
477,RSM0506,1.95055
478,RSM3237,1.22691
479,RSM1550,1.09423
480,RSM1401,1.21041
481,RSM0480,1.95644
482,RSM4294,0.974358
483,RSM2805,1.30508
484,RSM3428,0.871454
485,RSM0031,1.60093
486,RSM1639,1.81519
